date,ticker,close,fiscal_period,fiscal_year,revenue,net_income,totalLiabilities,totalEquity,share_capital,earnings_per_share,p_e_ratio,sma_50,next_close
2024-09-30,AAPL,233.0,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1316.7282844733986,222.2656,226.21
2024-10-01,AAPL,226.21,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1278.3566748099893,222.31060000000002,226.78
2024-10-02,AAPL,226.78,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1281.5778555917482,222.34600000000003,225.67
2024-10-03,AAPL,225.67,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1275.3050298588491,222.48860000000002,226.8
2024-10-04,AAPL,226.8,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1281.6908794788274,222.6748,221.69
2024-10-07,AAPL,221.69,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1252.813276330076,222.74940000000004,225.77
2024-10-08,AAPL,225.77,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1275.8701492942455,222.9,229.54
2024-10-09,AAPL,229.54,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1297.1751520086862,223.1148,229.04
2024-10-10,AAPL,229.04,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1294.3495548317046,223.25400000000002,227.55
2024-10-11,AAPL,227.55,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1285.9292752442998,223.43779999999998,231.3
2024-10-14,AAPL,231.3,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1307.1212540716613,223.66660000000005,233.85
2024-10-15,AAPL,233.85,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1321.5317996742672,224.1582,231.78
2024-10-16,AAPL,231.78,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1309.8338273615636,224.6492,232.15
2024-10-17,AAPL,232.15,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1311.9247692725298,225.09579999999997,235.0
2024-10-18,AAPL,235.0,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1328.0306731813248,225.5296,236.48
2024-10-21,AAPL,236.48,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1336.39444082519,225.93439999999998,235.86
2024-10-22,AAPL,235.86,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1332.890700325733,226.301,230.76
